Data: 2020-01-12
Materials                                           Mol_ID                                              AtomsNumber       CellAngle                   CellLength                   SuperCell     Elements
str_m2_o10_o16_pcu_sym.14                           str_m2_o10_o16_pcu_s_ID_45                          828               94.0800,77.4200,102.9700    22.2670,26.2330,26.8150      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.140                          str_m2_o10_o16_pcu_s_ID_46                          792               94.9500,77.9800,103.1000    22.4590,26.0720,26.8100      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.141                          str_m2_o10_o16_pcu_s_ID_47                          864               94.1600,77.0000,102.9500    22.2440,26.0850,26.6750      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.142                          str_m2_o10_o16_pcu_s_ID_48                          900               93.7100,77.3000,103.1500    22.3000,26.0470,26.7580      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.143                          str_m2_o10_o16_pcu_s_ID_49                          828               94.1700,78.1600,103.0900    22.3680,26.2650,26.8100      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.144                          str_m2_o10_o16_pcu_s_ID_50                          792               94.0500,77.3200,103.1000    22.2860,26.1480,26.7640      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.145                          str_m2_o10_o16_pcu_s_ID_51                          792               94.1000,77.4500,103.1100    22.2850,26.0790,26.9270      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.146                          str_m2_o10_o16_pcu_s_ID_52                          792               94.0600,77.4200,103.0800    22.2850,26.1470,26.8170      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.147                          str_m2_o10_o16_pcu_s_ID_53                          792               94.0400,77.4300,103.1100    22.2950,26.0810,26.8160      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.148                          str_m2_o10_o16_pcu_s_ID_54                          918               94.7400,77.8700,103.0800    22.4290,26.0680,26.7520      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.149                          str_m2_o10_o16_pcu_s_ID_55                          1008              93.8300,78.6900,103.0100    22.3440,26.0380,26.7520      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.15                           str_m2_o10_o16_pcu_s_ID_56                          828               93.9900,77.2700,103.1400    22.2940,26.0810,26.7340      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.150                          str_m2_o10_o16_pcu_s_ID_57                          882               96.1100,77.5300,103.6800    22.6020,26.1020,26.8260      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.151                          str_m2_o10_o16_pcu_s_ID_58                          1080              96.0800,80.1300,101.9100    22.6180,26.0840,27.0200      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.152                          str_m2_o10_o16_pcu_s_ID_59                          864               94.0400,77.3300,103.1500    22.2940,26.2180,26.6680      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.153                          str_m2_o10_o16_pcu_s_ID_60                          1044              94.9000,76.5600,102.2700    22.2630,26.5330,26.8330      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.154                          str_m2_o10_o16_pcu_s_ID_61                          792               94.0400,77.3700,103.1200    22.2910,26.0820,26.8140      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.155                          str_m2_o10_o16_pcu_s_ID_62                          918               93.9800,77.2000,103.1600    22.2740,26.0580,26.7940      1,1,1         C,H,N,Cu,O          
