	Di	Df	Dif	Unitcell_volume:	Density:	ASA_A^2:	ASA_m^2/cm^3:	ASA_m^2/g:	NASA_A^2:	NASA_m^2/cm^3:	NASA_m^2/g:	AV_A^3:	AV_Volume_fraction:	AV_cm^3/g:	NAV_A^3:	NAV_Volume_fraction:	NAV_cm^3/g:
str_m1_o10_o18_pcu_sym.152.res	6.92003	3.90922	6.92	35573.3	0.999943	7773.8	2185.29	2185.42	6.98246	1.96284	1.96295	5167.37	0.14526	0.145268	0	0	0
str_m1_o10_o18_pcu_sym.153.res	7.5025	5.77451	7.40327	35729.4	0.798202	10117.4	2831.67	3547.56	0	0	0	9360.38	0.26198	0.328213	0	0	0
str_m1_o10_o18_pcu_sym.154.res	7.61362	5.67314	7.58747	35578.4	0.774663	9458.56	2658.51	3431.83	0	0	0	10505.6	0.29528	0.381172	0	0	0
str_m1_o10_o18_pcu_sym.155.res	6.22371	4.72725	6.22371	35715.8	0.94511	8410.07	2354.72	2491.48	0	0	0	5507.37	0.1542	0.163156	0	0	0
str_m1_o10_o18_pcu_sym.156.res	5.51943	3.67164	5.41397	35229.4	1.07279	5787.54	1642.81	1531.35	0	0	0	2335.71	0.0663	0.061802	0	0	0
str_m1_o10_o18_pcu_sym.157.res	5.96674	5.10683	5.9667	35650.1	1.05518	5819.24	1632.32	1546.96	49.3096	13.8315	13.1082	3526.51	0.09892	0.093747	2.85201	0.00008	0.000076
str_m1_o10_o18_pcu_sym.158.res	8.02068	5.25932	8.02061	35600.9	0.77918	10077	2830.54	3632.72	0	0	0	10395.5	0.292	0.374753	0	0	0
str_m1_o10_o18_pcu_sym.159.res	7.95396	6.35057	7.95391	35818.8	0.71094	10413.8	2907.37	4089.47	0	0	0	13020.1	0.3635	0.511295	0	0	0
str_m1_o10_o18_pcu_sym.16.res	5.77523	3.86004	5.74967	35318.5	1.04635	6556.27	1856.33	1774.1	0.960272	0.271889	0.259845	2795.82	0.07916	0.075653	0	0	0
str_m1_o10_o18_pcu_sym.160.res	7.98971	6.16073	7.98673	35615.4	0.771201	10493.9	2946.45	3820.6	0	0	0	11719.6	0.32906	0.426685	0	0	0
str_m1_o10_o18_pcu_sym.161.res	6.69569	4.98382	6.57492	35740.9	0.861515	9398.05	2629.49	3052.17	1.61319	0.451357	0.523911	7908.75	0.22128	0.25685	0	0	0
